Рейтинг,Имя пользователя,Ник,Категория,Страна,Подписчики,Средние лайки,Средние комментарии
,,,,,,,
1,Jennifer Lopez,jlo,MusicCinema & Actors/actresses,United States,252.4M,517.4K,672.4K
2,Vin Diesel,vindiesel,Cinema & Actors/actresses,United States,101.1M,458.8K,559.3K
3,Jude Bellingham,judebellingham,LifestyleSports with a ball,United Kingdom,18.9M,796.1K,2.1M
4,Burak Özdemir,cznburak,Food & Cooking,Turkey,54.1M,385.8K,496.7K
5,Emily Ratajkowski,emrata,Modeling,United States,30.3M,483.4K,617.3K
6,Conor McGregor Official,thenotoriousmma,Fitness & Gym,United States,46.8M,246.8K,326.8K
7,Enzo Zelocchi,enzozelocchi,Cinema & Actors/actresses,India,14.4M,571.6K,922.2K
8,Hannah Stocking,hannahstocking,Modeling,United States,25.9M,353.1K,473.1K
9,VLADIMIR1 & mr ANATOLY,vladimirshmondenko,Fitness & Gym,Russia,10.1M,842.9K,1.1M
10,hakki akdeniz,hakkiakdenizz,Business & Careers,Turkey,30.5M,227.4K,329.7K
11,Otabek Umarov,otabek_muhammadalievich,,Russia,26.4M,178.9K,304.2K
12,Mark Pugachev,pugachevmark,Cars & MotorbikesLuxury,Russia,19.6M,271.1K,398.5K
13,Тамаев Асхаб,tamaaev,Fitness & Gym,Russia,13.1M,408.6K,577.7K
14,Snejana Onopka,snejanaonopka15,Modeling,Brazil,14.8M,377.3K,448.3K
15,Neslihan Atagül Doğulu,neslihanatagul,Cinema & Actors/actressesModeling,Turkey,14.2M,312.6K,392.5K
16,Джейран Касымова,djeiran_han,Family,India,7M,615K,775.8K
17,ARAIK GALSTYAN,araikgalstyanmoscowschool,Beauty,Russia,22M,182.5K,235.7K
18,Fahriye Evcen Özçivit,evcenf,LifestyleBeauty,Turkey,13.7M,288.2K,365.3K
19,Adam Weitsman,adamweitsman,Business & Careers,Kazakhstan,19.6M,177.2K,216.9K
20,Leonardo DiCaprio,leonardodicaprio,Cinema & Actors/actresses,United States,61.6M,53.8K,69.2K
21,Rakhim,rahimabramov,Shows,Russia,6.2M,494.6K,663.3K
22,Kashika Kapoor,kashikakapoor09,BeautyLifestyleCinema & Actors/actresses,India,15.7M,142.1K,254K
23,irina shayk,irinashayk,Modeling,Russia,23.2M,135.1K,165.1K
24,Larissa Manoela,larissamanoela,Cinema & Actors/actresses,Brazil,53M,40.4K,67.7K
25,Dmitriy Shelengovskiy,shelengovskiy,Art/Artists,United States,13.7M,228.2K,252.9K
26,Rosie HW,rosiehw,Modeling,United States,19.5M,135.4K,173.8K
27,Tata Werneck,tatawerneck,Cinema & Actors/actressesFamily,Brazil,56.8M,38K,59.1K
28,Elton ILIRJANI,eilirjani,Adult content,Brazil,11.8M,190.7K,274.9K
29,Jas Mathur,limitless,Business & CareersManagement & Marketing,United States,12.1M,117.4K,208.7K
30,Jean-Claude Van Damme,jcvd,Cinema & Actors/actresses,United States,7.9M,235.1K,293.2K
31,Брайн Мапс (Макс Тарасенко),brianmaps,,Russia,5.9M,289.5K,345.6K
32,Christopher McGinnis,chrismcg,,United States,10.2M,90.9K,191.4K
33,UFC,ufc,Extreme Sports & Outdoor activityShows,United States,38.1M,32.7K,46.8K
34,❥ Khalid Rafiq 👑💫,rafiqkhalid,Lifestyle,Russia,4.1M,219.8K,437.8K
35,BMW,bmw,Cars & Motorbikes,United States,37.6M,36.6K,45.7K
36,Khvicha Kvaratskhelia,kvara7,,Russia,3.6M,343.4K,472.7K
37,Dior Official,dior,FashionClothing & OutfitsAccessories & Jewellery,United States,45.3M,29.6K,36.4K
38,Islam_Makhachev,islam_makhachev,Fitness & Gym,Russia,6.8M,184.9K,235.7K
39,Nazar Babenko,nazar_8888_,,Ukraine,12.3M,94.1K,117.7K
40,Liubava Rose ❤️🌹,love__rose92,Nature & landscapesLifestyleTravel,India,5.8M,161.9K,254.1K
41,Ekaterina Gorodnicheva,katyagorod,TravelLifestyle,Russia,6.4M,213.4K,223.3K
42,Nurtaza Nurbek,justking31,Humor & Fun & HappinessFamily,Kazakhstan,6.5M,153.7K,216.9K
43,Abduroziq Official,abdu_rozik,MusicShows,Tajikistan,8.3M,128.9K,159.9K
44,КЛАВА КОКА | Black Star,klavacoca,Music,Russia,8.1M,141.7K,161.6K
45,ANDREY BATT,andreybatt,,Russia,10.8M,106.3K,119.3K
46,Julia Roberts,juliaroberts,Cinema & Actors/actresses,United States,11.4M,80.5K,103.7K
47,Елена Сажина,helen_yes1,Cinema & Actors/actresses,Russia,10.2M,30.3K,113.6K
48,Иван Ургант,urgantcom,ShowsCinema & Actors/actresses,Russia,11.8M,84.9K,96.3K
49,Mercedes-Benz,mercedesbenz,Cars & MotorbikesLuxury,United States,37.9M,2.1K,29.5K
50,Cameron Diaz,camerondiaz,Cinema & Actors/actresses,United States,11.7M,76.3K,94K
